text,intent,text_clean
What should the baby wear for baptism?,sacraments_baptism,what should the baby wear for baptism?
When was this parish founded?,parish_history,when was this parish founded?
How long does Sunday mass usually take?,mass_times,how long does sunday mass usually take?
What psalm is used this week?,scripture_lookup,what psalm is used this week?
What scripture passage is for the feast of the Assumption?,scripture_lookup,what scripture passage is for the feast of the assumption?
How is the church funding the new project?,donations,how is the church funding the new project?
How many godparents are required?,sacraments_baptism,how many godparents are required?
How do I contact the parish office?,contact_info,how do i contact the parish office?
What time is the sacrament of reconciliation?,confession_schedule,what time is the sacrament of reconciliation?
How did the parish grow over the years?,parish_history,how did the parish grow over the years?
Do you offer a Latin mass?,mass_times,do you offer a latin mass?
Can grandparents be godparents?,sacraments_baptism,can grandparents be godparents?
Is there a lecture series happening this month?,events,is there a lecture series happening this month?
What time is the Wednesday evening mass?,mass_times,what time is the wednesday evening mass?
Who built the original church structure?,parish_history,who built the original church structure?
Can I go to confession without an appointment?,confession_schedule,can i go to confession without an appointment?
Is there confession during Lent?,confession_schedule,is there confession during lent?
Is this church named after a specific saint?,parish_history,is this church named after a specific saint?
Where do I find the readings for Ash Wednesday?,scripture_lookup,where do i find the readings for ash wednesday?
What age can a child be baptized?,sacraments_baptism,what age can a child be baptized?
Do you have mass on public holidays?,mass_times,do you have mass on public holidays?
Can I call the church directly?,contact_info,can i call the church directly?
How do I get a donation receipt?,donations,how do i get a donation receipt?
What time is reconciliation on Saturdays?,confession_schedule,what time is reconciliation on saturdays?
When is the next First Communion ceremony?,events,when is the next first communion ceremony?
What time is First Friday mass?,mass_times,what time is first friday mass?
What events are happening this month?,events,what events are happening this month?
How many Masses do you have on Sunday?,mass_times,how many masses do you have on sunday?
Where can I find the daily readings?,scripture_lookup,where can i find the daily readings?
What is the responsorial psalm today?,scripture_lookup,what is the responsorial psalm today?
Do you have a Sunday evening service?,mass_times,do you have a sunday evening service?
What is the Paybill number for offerings?,donations,what is the paybill number for offerings?
What is the patron feast of this parish?,parish_history,what is the patron feast of this parish?
How can I donate to the church?,donations,how can i donate to the church?
Is there a women's guild event this month?,events,is there a women's guild event this month?
Who leads the youth ministry?,staff_directory,who leads the youth ministry?
What is the Old Testament reading today?,scripture_lookup,what is the old testament reading today?
What's your church's official website?,contact_info,what's your church's official website?
What is the second reading this week?,scripture_lookup,what is the second reading this week?
Are there records of past parish priests?,parish_history,are there records of past parish priests?
Is there a harvest festival this year?,events,is there a harvest festival this year?
Who do I contact for wedding bookings?,staff_directory,who do i contact for wedding bookings?
Is confession available for children?,confession_schedule,is confession available for children?
Who is in charge of the parish council?,staff_directory,who is in charge of the parish council?
What time should I arrive for mass?,mass_times,what time should i arrive for mass?
Who can I speak to about counseling?,staff_directory,who can i speak to about counseling?
How do I register my baby for baptism?,sacraments_baptism,how do i register my baby for baptism?
What is needed to register for baptism classes?,sacraments_baptism,what is needed to register for baptism classes?
How do I contact Father for a house visit?,staff_directory,how do i contact father for a house visit?
Who teaches the confirmation classes?,staff_directory,who teaches the confirmation classes?
Can I give my tithe through the app?,donations,can i give my tithe through the app?
How do I prepare for my first confession?,confession_schedule,how do i prepare for my first confession?
When is the next parish feast day celebration?,events,when is the next parish feast day celebration?
